bin,relative_start_percent,relative_end_percent,brca1_benign_percent,brca2_benign_percent,diff_benign_percent,brca1_vus_percent,brca2_vus_percent,diff_vus_percent,brca1_pathogenic_percent,brca2_pathogenic_percent,diff_pathogenic_percent,brca1_high_spliceai_percent,brca2_high_spliceai_percent,diff_high_spliceai_percent,brca1_missense_percent,brca2_missense_percent,diff_missense_percent,brca1_nonsense_percent,brca2_nonsense_percent,diff_nonsense_percent,brca1_synonymous_percent,brca2_synonymous_percent,diff_synonymous_percent
82,67.50,68.33,91.49,92.94,-1.45,0.00,3.53,-3.53,8.51,3.53,4.98,0.00,3.53,-3.53,74.47,74.51,-0.04,8.51,3.14,5.37,17.02,22.35,-5.33
83,68.33,69.17,92.75,93.80,-1.05,2.17,1.55,0.62,5.07,4.65,0.42,0.00,1.55,-1.55,75.36,74.42,0.94,5.07,4.65,0.42,19.57,20.93,-1.36
84,69.17,70.00,62.41,90.98,-28.57,31.21,2.35,28.86,6.38,6.67,-0.29,9.93,1.18,8.75,75.18,70.59,4.59,6.38,6.67,-0.29,18.44,22.75,-4.31
85,70.00,70.83,92.03,94.19,-2.16,5.80,1.55,4.25,2.17,4.26,-2.09,0.72,1.16,-0.44,74.64,73.64,1.00,2.17,4.26,-2.09,23.19,22.09,1.10
86,70.83,71.67,93.62,95.29,-1.67,2.13,0.78,1.35,4.26,3.92,0.34,1.42,0.00,1.42,75.18,79.61,-4.43,4.26,3.92,0.34,20.57,16.47,4.10
87,71.67,72.50,81.56,91.09,-9.53,10.64,4.65,5.99,7.80,4.26,3.54,4.26,3.49,0.77,72.34,77.52,-5.18,7.80,4.26,3.54,19.86,18.22,1.64
88,72.50,73.33,63.77,8.63,55.14,28.99,86.67,-57.68,7.25,4.71,2.54,17.39,14.51,2.88,78.26,75.69,2.57,7.25,4.71,2.54,14.49,19.61,-5.12
89,73.33,74.17,94.33,6.20,88.13,0.71,90.70,-89.99,4.96,3.10,1.86,1.42,1.16,0.26,74.47,66.67,7.80,4.96,3.10,1.86,20.57,30.23,-9.66
90,74.17,75.00,49.28,4.31,44.97,46.38,90.59,-44.21,4.35,5.10,-0.75,10.87,6.27,4.60,71.74,76.47,-4.73,3.62,5.10,-1.48,24.64,18.43,6.21
91,75.00,75.83,7.80,1.55,6.25,87.94,91.86,-3.92,4.26,6.59,-2.33,0.71,12.40,-11.69,78.72,72.87,5.85,4.26,6.59,-2.33,17.02,20.54,-3.52
92,75.83,76.67,38.30,3.14,35.16,56.03,91.37,-35.34,5.67,5.49,0.18,0.00,7.06,-7.06,73.76,72.55,1.21,5.67,5.49,0.18,20.57,21.96,-1.39
93,76.67,77.50,97.83,3.49,94.34,0.72,90.31,-89.59,1.45,6.20,-4.75,0.72,2.71,-1.99,73.19,75.58,-2.39,1.45,5.81,-4.36,25.36,18.60,6.76
94,77.50,78.33,46.81,5.88,40.93,44.68,85.10,-40.42,8.51,9.02,-0.51,39.72,5.49,34.23,69.50,74.12,-4.62,8.51,5.88,2.63,21.99,20.00,1.99
95,78.33,79.17,74.64,3.88,70.76,21.01,93.41,-72.40,4.35,2.71,1.64,5.07,0.39,4.68,75.36,73.64,1.72,4.35,2.71,1.64,20.29,23.64,-3.35
96,79.17,80.00,91.49,3.92,87.57,4.96,90.98,-86.02,3.55,5.10,-1.55,0.71,0.39,0.32,76.60,73.73,2.87,3.55,4.31,-0.76,19.86,21.96,-2.10
97,80.00,80.83,70.21,5.04,65.17,22.70,91.09,-68.39,7.09,3.88,3.21,13.48,0.39,13.09,68.79,68.99,-0.20,6.38,3.88,2.50,24.82,27.13,-2.31
98,80.83,81.67,93.48,5.88,87.60,0.00,89.41,-89.41,6.52,4.71,1.81,0.00,3.92,-3.92,78.99,71.37,7.62,6.52,4.71,1.81,14.49,23.92,-9.43
99,81.67,82.50,92.91,5.81,87.10,1.42,90.70,-89.28,5.67,3.49,2.18,2.13,7.75,-5.62,73.76,71.32,2.44,5.67,3.49,2.18,20.57,25.19,-4.62
100,82.50,83.33,92.03,3.92,88.11,2.90,86.27,-83.37,5.07,9.80,-4.73,0.72,3.14,-2.42,71.74,72.94,-1.20,5.07,9.02,-3.95,23.19,18.04,5.15
101,83.33,84.17,69.50,4.31,65.19,24.82,88.24,-63.42,5.67,7.45,-1.78,7.09,2.35,4.74,69.50,74.51,-5.01,4.96,7.45,-2.49,25.53,18.04,7.49
